CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.0.1 b398"
LGOROWLENGTH	14
CREATED	"2019-05-31"  # Time: 0:03:14
INSTRUMENTATION	"i1Pro 2"
INSTRUMENT_SN	"1026221"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=no"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"no"
MEASUREMENT_CONDITION	"M0"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
# 
# RGB space for the RGB data in this file: 
# Profile name: 
RGB_PROFILE_NAME	"ProPhoto RGB"
# Profile path: 
RGB_PROFILE_PATH	"/Users/jpereira/Documents/BabelColor/Image profiles/ProPhoto RGB.icc"
# Rendering intent: 
RGB_PROFILE_INTENT	"Relative Colorimetric"
# Black Point Compensation (BPC) setting: 
RGB_PROFILE_BPC	"NO"
# Encoding format: 
RGB_ENCODING	"8 bit"
# 
KEYWORD	"SAMPLE_ID"
NUMBER_OF_FIELDS	10
BEGIN_DATA_FORMAT
SAMPLE_ID SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	140
BEGIN_DATA
47	E7	42.068	31.08	106.166	4.060946	2.732745	17.033489	18.94	23.357	-57.954
48	E8	74.825	117.257	54.509	12.30081	20.739063	5.127926	52.663	-44.258	39.168
49	E9	116.486	41.561	26.497	20.026358	9.740348	1.399004	37.372	66.05	40.644
50	E10	196.138	186.304	53.157	57.595028	58.407181	4.901135	80.965	3.134	89.15
51	F1	138.414	74.036	117.723	28.782515	17.264817	20.516845	48.592	55.744	-14.393
52	F2	67.458	101.93	142.86	10.973006	16.284725	29.071595	47.346	-30.744	-32.033
53	F3	205.767	199.774	212.863	65.184226	65.450156	59.613418	84.715	4.706	-5.805
54	F4	159.877	113.942	121.905	38.412131	29.116078	21.848073	60.884	36.505	4.137
55	F5	125.188	49.083	39.618	22.958622	11.661991	2.886678	40.674	65.618	32.305
56	F6	240.748	241.68	237.752	86.959608	90.610683	72.748684	96.25	-0.759	1.767
57	F7	21.098	21.113	21.949	1.087187	1.125651	0.996634	9.997	0.062	-1.063
58	F8	84.492	106.242	180.2	15.384701	18.657612	44.163462	50.284	-14.519	-48.092
59	F9	108.773	132.232	180.871	23.031596	28.03367	44.460039	59.919	-17.008	-31.843
60	F10	217.684	196.815	187.362	70.272548	66.321361	47.374428	85.16	13.922	8.195
61	G1	240.56	241.47	237.574	86.835519	90.473019	72.650495	96.193	-0.744	1.755
