CGATS.17
ORIGINATOR	"BabelColor PatchTool, version 5.0.1 b398"
LGOROWLENGTH	14
CREATED	"2019-05-31"  # Time: 0:03:14
INSTRUMENTATION	"i1Pro 2"
INSTRUMENT_SN	"1026221"
MEASUREMENT_SOURCE	"Illumination=D50 ObserverAngle=2 WhiteBase=Abs Filter=no"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"no"
MEASUREMENT_CONDITION	"M0"
WEIGHTING_FUNCTION	"ILLUMINANT, D50"
WEIGHTING_FUNCTION	"OBSERVER, 2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
# 
# RGB space for the RGB data in this file: 
# Profile name: 
RGB_PROFILE_NAME	"ProPhoto RGB"
# Profile path: 
RGB_PROFILE_PATH	"/Users/jpereira/Documents/BabelColor/Image profiles/ProPhoto RGB.icc"
# Rendering intent: 
RGB_PROFILE_INTENT	"Relative Colorimetric"
# Black Point Compensation (BPC) setting: 
RGB_PROFILE_BPC	"NO"
# Encoding format: 
RGB_ENCODING	"8 bit"
# 
KEYWORD	"SAMPLE_ID"
NUMBER_OF_FIELDS	10
BEGIN_DATA_FORMAT
SAMPLE_ID	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
NUMBER_OF_SETS	140
BEGIN_DATA
59	108.773	132.232	180.871	23.031596	28.033670	44.460039	59.919	-17.008	-31.843
60	217.684	196.815	187.362	70.272548	66.321361	47.374428	85.160	13.922	8.195
61	240.560	241.470	237.574	86.835519	90.473019	72.650495	96.193	-0.744	1.755
62	184.652	184.719	183.499	53.904309	55.945284	45.630228	79.583	-0.103	0.644
63	140.640	140.931	140.605	33.039196	34.338482	28.250335	65.230	-0.252	0.145
64	100.350	100.661	100.655	17.998993	18.722927	15.474311	50.361	-0.288	-0.057
65	65.633	65.391	64.894	8.357670	8.640557	7.019810	35.283	0.231	0.461
66	30.992	31.127	31.446	2.171705	2.260441	1.904264	16.799	-0.171	-0.389
67	185.452	204.214	215.425	56.331372	63.960879	60.911500	83.945	-12.816	-8.425
68	166.156	117.384	104.901	40.862123	30.926996	16.669758	62.446	37.433	17.904
69	168.480	81.716	46.428	39.706990	22.827325	3.841102	54.894	66.412	50.289
70	99.965	100.272	100.426	17.876130	18.593064	15.410962	50.208	-0.276	-0.165
71	99.366	99.741	99.856	17.687266	18.409497	15.253925	49.989	-0.342	-0.153
72	101.484	137.357	173.753	21.188041	28.850375	41.358991	60.649	-28.664	-26.709
73	28.333	42.826	63.441	2.325671	3.416481	6.739296	21.640	-17.778	-21.873
74	189.452	204.020	150.947	56.982684	64.512273	32.101830	84.232	-12.446	26.817
75	20.888	20.926	21.667	1.067945	1.107177	0.973674	9.854	0.013	-0.954
76	54.733	54.961	55.081	6.044561	6.293320	5.225254	30.141	-0.259	-0.161
77	74.659	74.992	74.996	10.571799	11.011573	9.109083	39.600	-0.347	-0.076
78	125.047	125.447	125.125	26.746628	27.829296	22.898305	59.734	-0.355	0.129
79	171.766	171.266	170.936	47.285031	48.906175	40.159376	75.393	0.356	0.262
80	215.419	215.963	214.047	71.184240	74.044732	60.211912	88.944	-0.449	0.887
81	156.408	156.690	156.350	40.003806	41.565776	34.200785	70.571	-0.235	0.148
82	184.751	112.945	33.590	47.850201	32.548180	2.144435	63.793	51.918	78.336
83	218.545	181.355	58.448	67.960979	60.354891	5.814526	82.031	22.421	86.414
84	21.061	21.129	22.013	1.084812	1.125759	1.001917	9.998	-0.024	-1.143
85	240.520	241.396	237.261	86.800969	90.430072	72.478248	96.175	-0.732	1.876
86	24.082	41.657	44.098	1.789037	3.137096	3.500974	20.585	-25.326	-6.676
87	119.919	129.786	184.046	26.251568	28.505095	45.875376	60.342	-5.001	-32.822
88	160.456	120.260	77.956	38.501581	30.899315	9.766798	62.423	30.158	37.018
89	197.680	167.482	135.298	57.775819	51.605295	26.359436	77.044	20.473	23.708
90	149.576	130.601	95.003	35.105454	32.359472	13.944855	63.639	13.755	26.739
91	100.555	81.322	52.517	16.839234	14.482972	4.795449	44.918	16.903	27.565
92	161.774	141.802	119.666	40.653841	37.439123	21.130741	67.605	14.556	17.147
93	109.066	78.382	38.422	19.002630	14.749008	2.731630	45.288	26.794	41.454
94	160.691	127.009	95.559	39.117940	32.832874	14.092201	64.025	25.204	27.017
95	89.630	89.593	88.382	14.658037	15.207812	12.243927	45.918	-0.036	0.876
96	162.066	170.747	39.628	41.942049	47.307459	2.887958	74.386	-10.753	90.420
97	204.606	191.708	49.236	61.909713	61.964602	4.269545	82.895	5.078	95.985
98	240.685	241.597	237.549	86.913971	90.558425	72.636867	96.228	-0.751	1.828
99	21.090	21.105	21.908	1.086359	1.124944	0.993279	9.992	0.057	-1.021
100	92.256	138.916	148.876	18.503032	28.464534	31.313051	60.306	-40.510	-13.228
101	63.957	113.376	117.203	10.523807	18.927501	20.354135	50.602	-48.133	-10.593
102	158.103	130.064	108.561	38.424097	33.359177	17.731649	64.451	21.169	18.920
103	195.038	153.609	123.731	55.505110	46.354264	22.440922	73.775	28.969	25.212
104	153.179	133.685	111.666	36.794883	33.758195	18.655217	64.770	14.517	17.426
105	153.106	134.160	111.247	36.790101	33.891217	18.529481	64.876	14.044	17.883
106	156.237	133.107	110.411	37.902466	34.002261	18.279358	64.964	17.283	18.584
107	79.060	62.058	36.925	10.840288	9.083782	2.543011	36.145	16.554	27.203
108	166.072	135.498	99.643	41.758240	36.106549	15.195163	66.601	22.248	28.636
109	37.006	36.787	37.044	2.978664	3.070227	2.557709	20.323	0.321	-0.197
110	136.506	130.571	52.123	30.119831	30.676283	4.730823	62.233	2.042	57.769
111	150.292	166.727	48.529	37.235739	44.238337	4.159702	72.388	-16.874	78.513
112	99.809	100.108	100.106	17.823924	18.539070	15.322746	50.144	-0.278	-0.057
113	99.705	100.034	100.051	17.792458	18.511423	15.307496	50.111	-0.304	-0.076
114	37.550	35.653	25.621	2.974565	2.974314	1.316835	19.941	1.896	11.616
115	96.397	138.368	97.285	18.886294	28.673139	14.553877	60.492	-39.333	19.726
116	62.520	114.312	82.403	9.942582	19.077568	10.792947	50.778	-53.372	13.616
117	27.138	42.447	32.302	2.023095	3.329361	1.998679	21.317	-22.946	6.476
118	89.159	137.448	113.034	17.189680	27.735963	19.068866	59.649	-44.671	7.703
119	105.480	136.228	69.422	20.946072	28.896853	7.926389	60.690	-29.995	40.633
120	68.249	116.812	46.062	10.888342	20.135491	3.786665	51.990	-51.387	45.623
121	89.979	144.437	65.480	17.351472	29.992224	7.134448	61.648	-52.403	45.441
122	145.724	123.092	58.683	32.987374	29.694420	5.856687	61.390	16.120	50.627
123	122.566	136.015	57.027	25.895767	30.655983	5.562347	62.216	-14.548	53.463
124	142.672	174.353	54.395	35.045409	46.022150	5.108586	73.560	-29.212	75.297
125	47.099	36.080	24.639	4.256174	3.479910	1.227283	21.872	13.465	16.113
126	20.925	20.979	21.699	1.071524	1.111790	0.976331	9.890	-0.018	-0.934
127	239.637	240.593	236.588	86.239261	89.872719	72.108529	95.944	-0.780	1.804
128	99.805	100.130	100.190	17.824922	18.543925	15.345800	50.149	-0.297	-0.105
129	21.206	21.215	21.806	1.096372	1.135683	0.984994	10.074	0.045	-0.751
130	240.046	240.946	236.910	86.497939	90.121794	72.285047	96.047	-0.744	1.826
131	99.654	99.989	100.076	17.777284	18.496040	15.314339	50.092	-0.306	-0.125
132	21.306	21.287	22.147	1.106111	1.143416	1.012862	10.133	0.122	-1.076
133	240.582	241.496	237.502	86.848080	90.489858	72.610824	96.200	-0.751	1.802
134	99.814	100.133	100.215	17.827523	18.545490	15.352663	50.151	-0.291	-0.118
135	20.944	20.961	21.506	1.072161	1.111117	0.960720	9.885	0.027	-0.699
136	240.534	241.452	237.561	86.819372	90.459279	72.643457	96.187	-0.750	1.751
137	99.819	100.150	100.178	17.829263	18.550036	15.342520	50.157	-0.305	-0.084
138	21.034	21.047	21.986	1.081587	1.119415	0.999660	9.949	0.076	-1.192
139	99.816	100.118	100.155	17.826804	18.542051	15.336323	50.147	-0.278	-0.085
140	240.534	241.452	237.561	86.819372	90.459279	72.643457	96.187	-0.750	1.751
END_DATA
